epoch,IoU,dice_coefficient,loss,val_IoU,val_dice_coefficient,val_loss
0,0.5258201956748962,0.38328394293785095,0.42851945757865906,0.5806692242622375,0.4555904269218445,0.2442086786031723
1,0.5910375118255615,0.4822836220264435,0.1756119430065155,0.5958666205406189,0.5273033976554871,0.12285221368074417
2,0.6003970503807068,0.5449673533439636,0.09981860220432281,0.6000519394874573,0.5746144652366638,0.0793633833527565
3,0.6059364676475525,0.5853155851364136,0.06656698137521744,0.5997609496116638,0.603469967842102,0.06214829161763191
4,0.6117822527885437,0.6176124215126038,0.04941992834210396,0.6091454029083252,0.6321042776107788,0.04615365341305733
5,0.6834508776664734,0.6575379967689514,0.03891511261463165,0.6706270575523376,0.6619716882705688,0.04049969092011452
6,0.7541669011116028,0.6996945142745972,0.032335374504327774,0.7449784874916077,0.7168603539466858,0.031198564916849136
7,0.7783057689666748,0.731918454170227,0.02794063463807106,0.7515575289726257,0.7373518347740173,0.0293736532330513
8,0.7912530899047852,0.7549120783805847,0.024937476962804794,0.781606137752533,0.7724044322967529,0.024438418447971344
9,0.8037557005882263,0.7767180800437927,0.02267557755112648,0.79632169008255,0.7895244359970093,0.022049013525247574
10,0.8115622401237488,0.7938597798347473,0.021037699654698372,0.8209595680236816,0.8160223364830017,0.020442673936486244
11,0.8184153437614441,0.8066707849502563,0.019701000303030014,0.8183137774467468,0.8240528106689453,0.01923476904630661
12,0.8248238563537598,0.8186128735542297,0.018588513135910034,0.837977945804596,0.8393572568893433,0.017658237367868423
13,0.8315709233283997,0.8277441263198853,0.017554448917508125,0.8320813179016113,0.8415388464927673,0.017914487048983574
14,0.8371343016624451,0.8365877270698547,0.01673857308924198,0.8406732678413391,0.8550373315811157,0.01583578996360302
15,0.8401461243629456,0.8432677984237671,0.016071859747171402,0.8520308136940002,0.8634704351425171,0.015398913063108921
16,0.8449551463127136,0.8509877920150757,0.015427292324602604,0.8547272682189941,0.8639581799507141,0.015155251137912273
17,0.8502342104911804,0.8582206964492798,0.014840512536466122,0.8633334636688232,0.8786643743515015,0.014362819492816925
18,0.8568551540374756,0.8627563714981079,0.014457225799560547,0.8578402400016785,0.8779078722000122,0.0139321805909276
19,0.8616041541099548,0.869412899017334,0.013932992704212666,0.8749575614929199,0.8860169649124146,0.013423948548734188
20,0.8655853271484375,0.8722808361053467,0.01354231871664524,0.8742337822914124,0.886328935623169,0.013147646561264992
