epoch,IoU,dice_coefficient,loss,val_IoU,val_dice_coefficient,val_loss
0,0.5119398832321167,0.3784482479095459,0.4865458607673645,0.5670817494392395,0.45190152525901794,0.2710890471935272
1,0.5891469120979309,0.4903813600540161,0.2054259032011032,0.5846262574195862,0.5290764570236206,0.13899032771587372
2,0.5993015170097351,0.5477463603019714,0.11262404918670654,0.590263307094574,0.5705260038375854,0.08883336186408997
3,0.6261540055274963,0.5863674879074097,0.07341592013835907,0.5907254815101624,0.591543436050415,0.06741400063037872
4,0.6913581490516663,0.6255728006362915,0.05254925787448883,0.6254238486289978,0.6207172870635986,0.05171085521578789
5,0.7321953177452087,0.661208987236023,0.04071911424398422,0.6442028880119324,0.6378304362297058,0.04289993271231651
6,0.7588648200035095,0.693037748336792,0.033322133123874664,0.7157068252563477,0.6939305663108826,0.03326883912086487
7,0.7757731080055237,0.7207382917404175,0.02870040014386177,0.7345240712165833,0.7199448347091675,0.032570429146289825
8,0.7897891998291016,0.7449217438697815,0.02538202702999115,0.7417270541191101,0.7394548058509827,0.026299593970179558
9,0.8002769947052002,0.7660602331161499,0.02277580089867115,0.7684739232063293,0.7674130797386169,0.02425747737288475
10,0.8091904520988464,0.784325361251831,0.02094798907637596,0.7625682950019836,0.7766289710998535,0.02340049110352993
11,0.8173726201057434,0.8006905317306519,0.019470596686005592,0.7727082371711731,0.7926831841468811,0.02171015553176403
12,0.8219969868659973,0.8128603100776672,0.01831630989909172,0.8022732734680176,0.814694881439209,0.019541097804903984
13,0.8281592726707458,0.8223356604576111,0.01737271435558796,0.778272807598114,0.8091586828231812,0.020200984552502632
14,0.8339378237724304,0.8329290747642517,0.01658911257982254,0.8067567348480225,0.831889808177948,0.01819124072790146
15,0.8384295105934143,0.8392966389656067,0.01601063273847103,0.8232479095458984,0.8407296538352966,0.017363760620355606
16,0.842234194278717,0.8458360433578491,0.015410521999001503,0.8364884257316589,0.8543135523796082,0.01554930116981268
17,0.845583438873291,0.8517335057258606,0.014956723898649216,0.8323154449462891,0.8545563817024231,0.01626075617969036
18,0.8493942618370056,0.8553739190101624,0.014507177285850048,0.8261124491691589,0.8529433012008667,0.01622091978788376
19,0.8531954884529114,0.8589053153991699,0.014092731289565563,0.844050407409668,0.8634262084960938,0.015067394822835922
20,0.8562288284301758,0.8668659329414368,0.013715269975364208,0.8484838604927063,0.8701884746551514,0.01431589387357235
21,0.8597230911254883,0.8680825233459473,0.01334981806576252,0.8514482378959656,0.8723718523979187,0.01402370072901249
22,0.8609501719474792,0.869960606098175,0.013180962763726711,0.8557659983634949,0.8719061017036438,0.014030520804226398
23,0.8646693229675293,0.87257981300354,0.012842138297855854,0.8507015705108643,0.8746358156204224,0.014061318710446358
24,0.8653702139854431,0.874567449092865,0.012678810395300388,0.8554799556732178,0.8776160478591919,0.013514133170247078
25,0.8679688572883606,0.878391444683075,0.012385996989905834,0.8681609630584717,0.8834412693977356,0.012764033861458302
26,0.8693340420722961,0.8783819079399109,0.012300236150622368,0.8642163276672363,0.8811085224151611,0.012722956947982311
27,0.8731061816215515,0.8802371025085449,0.011972048319876194,0.8720350861549377,0.8871282935142517,0.012413310818374157
28,0.8736693263053894,0.8804727792739868,0.011847568675875664,0.8644312024116516,0.8855599761009216,0.012566721066832542
29,0.8751065135002136,0.8855833411216736,0.011626357212662697,0.8785938620567322,0.8915493488311768,0.012049135752022266
30,0.8767756819725037,0.8855966925621033,0.011503257788717747,0.8749914765357971,0.8916993737220764,0.011798898689448833
31,0.8779013752937317,0.8876004815101624,0.01134670339524746,0.8722711205482483,0.8906556963920593,0.012039873749017715
32,0.8793733716011047,0.8886376023292542,0.011243804357945919,0.8807174563407898,0.8962757587432861,0.011481952853500843
33,0.8810728192329407,0.8882520794868469,0.011087628081440926,0.8748392462730408,0.8933594226837158,0.0117343096062541
34,0.8816763758659363,0.8911422491073608,0.010942019522190094,0.8852341175079346,0.8981078267097473,0.011160026304423809
35,0.8836038112640381,0.8924065828323364,0.010812605731189251,0.8816384673118591,0.8969313502311707,0.011538665741682053
36,0.8852195739746094,0.8935879468917847,0.010672001168131828,0.8864865899085999,0.9011993408203125,0.011176309548318386
37,0.8858603835105896,0.8948126435279846,0.010601186193525791,0.8895925879478455,0.902895987033844,0.01075409073382616
38,0.887337863445282,0.8965736627578735,0.010468081571161747,0.8922916054725647,0.903835117816925,0.010801523923873901
39,0.8881321549415588,0.8981283903121948,0.01038446370512247,0.8878695964813232,0.9030319452285767,0.01096612960100174
40,0.8890163898468018,0.8992218375205994,0.010252977721393108,0.8938722610473633,0.9061201214790344,0.010517328046262264
41,0.8897233009338379,0.8966827988624573,0.010191247798502445,0.8914715647697449,0.9032490849494934,0.01075974851846695
42,0.8889341354370117,0.8974140882492065,0.010383488610386848,0.8919379115104675,0.906018853187561,0.010346535593271255
43,0.8919375538825989,0.899802029132843,0.009984730742871761,0.8951811194419861,0.9060850739479065,0.01025962084531784
44,0.8929393887519836,0.9019232392311096,0.009889797307550907,0.8952414393424988,0.9078457355499268,0.01031095813959837
45,0.8936344981193542,0.9046579003334045,0.00980751495808363,0.8960469365119934,0.906605064868927,0.010402074083685875
46,0.8941965103149414,0.9034987688064575,0.00978116411715746,0.8974691033363342,0.9091703295707703,0.010128737427294254
47,0.8946812748908997,0.9028185606002808,0.009725416079163551,0.8959853053092957,0.9096931219100952,0.010318996384739876
48,0.8949864506721497,0.905427873134613,0.00965823419392109,0.8993416428565979,0.911329984664917,0.010089675895869732
49,0.8964812755584717,0.904880166053772,0.009569545276463032,0.898409903049469,0.9113069176673889,0.009956873953342438
50,0.8953253626823425,0.9053232669830322,0.009616244584321976,0.9016557335853577,0.9139119386672974,0.009842688217759132
51,0.8977394700050354,0.9075022339820862,0.00940152257680893,0.9015713334083557,0.9143404960632324,0.00979634653776884
52,0.8983931541442871,0.9095317721366882,0.009400850161910057,0.9031128287315369,0.9141526818275452,0.009709960781037807
53,0.8990724682807922,0.9083830714225769,0.009295022115111351,0.9021374583244324,0.9154865741729736,0.00958589930087328
54,0.8997949957847595,0.9084827303886414,0.009235183708369732,0.9049410223960876,0.914004385471344,0.009543057531118393
55,0.8999550342559814,0.9100538492202759,0.009174139238893986,0.9058988690376282,0.9166657328605652,0.009568379260599613
56,0.9004249572753906,0.9100300073623657,0.009147352539002895,0.9049319624900818,0.9149958491325378,0.00945862103253603
57,0.9017036557197571,0.9105938076972961,0.00909562036395073,0.9044010043144226,0.9164367914199829,0.009482093155384064
58,0.9018943905830383,0.9125650525093079,0.009020106866955757,0.9069395065307617,0.9160733222961426,0.00939119327813387
59,0.9021660685539246,0.9101148843765259,0.008983803912997246,0.9087087512016296,0.9188759326934814,0.00923649501055479
60,0.9031228423118591,0.9126275181770325,0.008911358192563057,0.9077180027961731,0.9197238087654114,0.009222135879099369
61,0.9032737612724304,0.9129669666290283,0.008858186192810535,0.9074303507804871,0.9195905327796936,0.009153022430837154
62,0.9041091799736023,0.9133514165878296,0.008823584765195847,0.9074755311012268,0.9187478423118591,0.009239280596375465
63,0.9042666554450989,0.9118193984031677,0.008754022419452667,0.9087028503417969,0.9197776317596436,0.009237054735422134
64,0.9052715301513672,0.9155470132827759,0.008706019259989262,0.9088519215583801,0.9210470914840698,0.009150922298431396
65,0.9056469798088074,0.9154507517814636,0.008675359189510345,0.9100931286811829,0.920656681060791,0.00904473103582859
66,0.9061498641967773,0.9135982394218445,0.008616337552666664,0.9104657173156738,0.922315776348114,0.00911148451268673
67,0.9060829281806946,0.9146414995193481,0.008586464449763298,0.9072030186653137,0.9219077825546265,0.00913385208696127
68,0.9073126912117004,0.9169835448265076,0.008516000583767891,0.9118313789367676,0.9230717420578003,0.008982365019619465
69,0.9075143337249756,0.9178044199943542,0.008475552313029766,0.9120879769325256,0.924414336681366,0.0088595449924469
70,0.9078417420387268,0.9174668192863464,0.00843391939997673,0.90950608253479,0.9217256903648376,0.008980377577245235
71,0.9081651568412781,0.9167628884315491,0.008416814729571342,0.9109925627708435,0.9210368394851685,0.009018118493258953
72,0.9080048203468323,0.9193295836448669,0.008408594876527786,0.9133825898170471,0.9247226715087891,0.00898711383342743
73,0.9088261127471924,0.9169185757637024,0.008362731896340847,0.9125702381134033,0.9233956336975098,0.008927570655941963
74,0.9095579981803894,0.9195180535316467,0.008290556259453297,0.9130222201347351,0.9244190454483032,0.008818287402391434
75,0.9094412922859192,0.9172312021255493,0.008285675197839737,0.9135083556175232,0.9254105091094971,0.00884251855313778
76,0.909572184085846,0.9183449149131775,0.008264764212071896,0.9142627120018005,0.9256584644317627,0.00877116248011589
77,0.9107882976531982,0.920159637928009,0.008195022121071815,0.9135931134223938,0.9255045652389526,0.008858372457325459
78,0.9108105301856995,0.9206255078315735,0.008165644481778145,0.9108531475067139,0.924401044845581,0.008801351301372051
79,0.9114277958869934,0.9206879138946533,0.008138803765177727,0.9158249497413635,0.9272786974906921,0.008663643151521683
80,0.9111778140068054,0.9199389219284058,0.008126333355903625,0.9176793098449707,0.9261297583580017,0.00853600911796093
81,0.9120417237281799,0.9217010736465454,0.00807443168014288,0.9149542450904846,0.9260216951370239,0.008752257563173771
82,0.9122517108917236,0.9217768907546997,0.008041054010391235,0.9167082905769348,0.9279124736785889,0.008637242019176483
83,0.9126207828521729,0.9213300347328186,0.008034218102693558,0.9180314540863037,0.9278586506843567,0.00852456409484148
84,0.91302889585495,0.9199343323707581,0.007982074283063412,0.9159729480743408,0.9279703497886658,0.008483958430588245
85,0.9133607745170593,0.9220709204673767,0.00795208103954792,0.9175142645835876,0.9286783933639526,0.008505422621965408
86,0.9135786890983582,0.9228545427322388,0.007917311042547226,0.9174823760986328,0.928666353225708,0.008486570790410042
87,0.9134882092475891,0.9200934767723083,0.00790482945740223,0.9176623821258545,0.9262381196022034,0.008494272828102112
88,0.9139959216117859,0.9233941435813904,0.007852322421967983,0.9189252853393555,0.9288791418075562,0.008369244635105133
89,0.9142361283302307,0.9225866794586182,0.007823063991963863,0.9193163514137268,0.9286566376686096,0.008415572345256805
90,0.9146043658256531,0.9239176511764526,0.007814587093889713,0.9166662693023682,0.9293389320373535,0.00845193862915039
91,0.9150333404541016,0.9237460494041443,0.007776228245347738,0.9188299179077148,0.9286811351776123,0.008360742591321468
92,0.914891242980957,0.9241213798522949,0.007748329546302557,0.9202332496643066,0.929833173751831,0.008321354165673256
93,0.9157507419586182,0.9256096482276917,0.007701712194830179,0.9197707176208496,0.9300045967102051,0.008378622122108936
94,0.9159701466560364,0.9236429929733276,0.007708172779530287,0.9192919731140137,0.9297013878822327,0.008409474976360798
95,0.9159433245658875,0.9271014332771301,0.007700158748775721,0.9208979606628418,0.9309067726135254,0.00829601101577282
96,0.916296660900116,0.9260823130607605,0.007657351437956095,0.9205419421195984,0.9301254749298096,0.008321098051965237
97,0.9162105917930603,0.9254838824272156,0.007648332044482231,0.9190800786018372,0.9298168420791626,0.008257242850959301
98,0.9167404174804688,0.924383282661438,0.0075848218984901905,0.9202635288238525,0.9299582242965698,0.008457360789179802
99,0.9169797301292419,0.9241125583648682,0.007659522350877523,0.9204899668693542,0.9307559132575989,0.008299006149172783
