epoch,IoU,dice_coefficient,loss,val_IoU,val_dice_coefficient,val_loss
0,0.47976645827293396,0.3833982050418854,0.5271316766738892,0.5725749135017395,0.4524309039115906,0.3028750717639923
1,0.5794957280158997,0.47385671734809875,0.2214113473892212,0.5843459963798523,0.5096994042396545,0.1649465709924698
2,0.5939816236495972,0.5260710120201111,0.13085804879665375,0.5937612652778625,0.5543736219406128,0.1004636362195015
3,0.6019396185874939,0.5635228157043457,0.08848023414611816,0.5991388559341431,0.5855889916419983,0.0711791142821312
4,0.6067522764205933,0.5910425782203674,0.06574322283267975,0.6060717105865479,0.6114581823348999,0.05560189485549927
5,0.6109357476234436,0.6145973801612854,0.05166681855916977,0.60844486951828,0.6329419016838074,0.04772427678108215
6,0.6497051119804382,0.6441397070884705,0.041516754776239395,0.7140188217163086,0.6781802177429199,0.037118203938007355
7,0.743975818157196,0.6897479891777039,0.034114789217710495,0.7416617274284363,0.7149246335029602,0.030433930456638336
8,0.7730051875114441,0.7249525189399719,0.029111430048942566,0.7701303362846375,0.7429295778274536,0.026675425469875336
9,0.7910428047180176,0.7509811520576477,0.025824807584285736,0.7830483317375183,0.769654393196106,0.0238952673971653
10,0.8060606122016907,0.77519291639328,0.022996366024017334,0.810732901096344,0.7977733612060547,0.021202629432082176
11,0.8153125643730164,0.7947742342948914,0.021192273125052452,0.8133179545402527,0.8144837617874146,0.019634325057268143
12,0.8225309252738953,0.8075485229492188,0.019824039191007614,0.8337824940681458,0.8274489045143127,0.019050894305109978
13,0.8305570483207703,0.8195964694023132,0.018722085282206535,0.8337354063987732,0.8377619981765747,0.01808469370007515
14,0.8369459509849548,0.8330555558204651,0.017640674486756325,0.8418113589286804,0.8445998430252075,0.01742703840136528
15,0.8420217633247375,0.8373467922210693,0.016918841749429703,0.8454291820526123,0.8563116788864136,0.016186773777008057
16,0.8473955988883972,0.8460186123847961,0.016166450455784798,0.8592767715454102,0.8663300275802612,0.015428286977112293
17,0.8524351716041565,0.8531330823898315,0.01547811459749937,0.8575442433357239,0.8672662377357483,0.014895359054207802
18,0.8559327125549316,0.8602129817008972,0.01503460481762886,0.8610627055168152,0.8732525706291199,0.014421083964407444
19,0.8592479228973389,0.8622167110443115,0.014622727409005165,0.8663070201873779,0.8768898248672485,0.014178447425365448
20,0.8627373576164246,0.8668128252029419,0.01415063813328743,0.8731281161308289,0.8817249536514282,0.013487273827195168
21,0.8667438626289368,0.8738582134246826,0.01374337449669838,0.8782108426094055,0.8858980536460876,0.012980763800442219
22,0.8694446682929993,0.875251054763794,0.013397310860455036,0.8784001469612122,0.8883427381515503,0.012791414745151997
23,0.8718765377998352,0.8767508864402771,0.013079469092190266,0.8832626342773438,0.8911079168319702,0.012696352787315845
24,0.8742754459381104,0.8793886303901672,0.012824543751776218,0.8814257979393005,0.8916822075843811,0.01252735499292612
25,0.8772464394569397,0.8837512731552124,0.012567808851599693,0.8840306401252747,0.8958159685134888,0.012269620783627033
26,0.8794133067131042,0.8903796076774597,0.012281437404453754,0.8872861862182617,0.8979516625404358,0.012163914740085602
27,0.881762683391571,0.8889017105102539,0.0120265306904912,0.8929958343505859,0.9014861583709717,0.011533998884260654
28,0.8829721808433533,0.8914411664009094,0.011860597878694534,0.8911361694335938,0.8991047739982605,0.011683389544487
29,0.8850095868110657,0.8931717276573181,0.011715086176991463,0.8950640559196472,0.9041101336479187,0.011710520833730698
30,0.8881154656410217,0.8959090113639832,0.011373613961040974,0.8958225846290588,0.9043321013450623,0.011148784309625626
31,0.8892884850502014,0.8971185684204102,0.011246470734477043,0.8965359330177307,0.9053608179092407,0.011098368093371391
32,0.8907912373542786,0.8990951180458069,0.011100146919488907,0.8991518020629883,0.9072794318199158,0.010872802697122097
33,0.8923889994621277,0.900215744972229,0.010895303450524807,0.901591956615448,0.9093399047851562,0.010888174176216125
34,0.8940505981445312,0.902032732963562,0.010752612724900246,0.9032008051872253,0.9117587208747864,0.010627750307321548
35,0.8955850005149841,0.902947723865509,0.010653696954250336,0.90362149477005,0.911596417427063,0.010664191097021103
36,0.896571934223175,0.9032765626907349,0.010474187321960926,0.904803454875946,0.9124323725700378,0.010340424254536629
37,0.8967111110687256,0.9056694507598877,0.010599725879728794,0.9043278098106384,0.9123009443283081,0.010563531890511513
